booking_id,date_key,hotel_key,market_segment_key,channel_key,customer_type_key,deposit_type_key,is_canceled,reservation_status,lead_time,lead_time_bucket,total_nights,total_guests,adults,children,babies,adr,est_revenue,is_comp_rate,is_adr_outlier,is_zero_night,is_zero_adult,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,total_of_special_requests,days_in_waiting_list,required_car_parking_spaces,reserved_room_type,assigned_room_type,meal,agent,country
12,20240327,9,3,3,1,1,0,Check-Out,35,31-90 days,4,2,2,0,0,145.0,580.0,0,0,0,0,0,0,0,0,0,0,0,D,D,HB,240,PRT
13,20240302,10,3,3,1,1,0,Check-Out,68,31-90 days,4,2,2,0,0,97.0,388.0,0,0,0,0,0,0,0,0,3,0,0,D,E,BB,240,USA
14,20240609,5,3,3,1,1,0,Check-Out,18,8-30 days,4,3,2,1,0,154.77,619.08,0,0,0,0,0,0,0,1,1,0,0,G,G,HB,241,ESP
15,20240615,11,3,3,1,1,0,Check-Out,37,31-90 days,4,2,2,0,0,94.71,378.84,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,241,PRT
16,20240624,2,3,3,1,1,0,Check-Out,68,31-90 days,4,2,2,0,0,97.0,388.0,0,0,0,0,0,0,0,0,3,0,0,D,E,BB,240,IRL
17,20240118,12,4,3,2,1,0,Check-Out,37,31-90 days,4,2,2,0,0,97.5,390.0,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,8,PRT
18,20241217,9,3,3,1,1,0,Check-Out,12,8-30 days,1,2,2,0,0,88.2,88.2,0,0,0,0,0,0,0,0,0,0,0,A,E,BB,240,IRL
19,20240417,2,2,2,1,1,0,Check-Out,0,0-7 days,1,2,2,0,0,107.42,107.42,0,0,0,0,0,0,0,0,0,0,0,A,G,BB,0,FRA
20,20241111,3,1,1,1,1,0,Check-Out,7,0-7 days,4,2,2,0,0,153.0,612.0,0,0,0,0,0,0,0,0,1,0,0,G,G,BB,250,GBR
21,20241123,8,3,3,1,1,0,Check-Out,37,31-90 days,5,1,1,0,0,97.29,486.4500000000001,0,0,0,0,0,0,0,0,1,0,0,F,F,BB,241,GBR
22,20240113,13,1,1,1,1,0,Check-Out,72,31-90 days,6,2,2,0,0,84.67,508.02,0,0,0,0,0,0,0,1,1,0,0,A,A,BB,250,PRT
23,20240704,10,1,1,1,1,0,Check-Out,72,31-90 days,6,2,2,0,0,84.67,508.02,0,0,0,0,0,0,0,1,1,0,0,A,A,BB,250,PRT
24,20240322,9,1,1,1,1,0,Check-Out,72,31-90 days,6,2,2,0,0,99.67,598.02,0,0,0,0,0,0,0,1,1,0,0,D,D,BB,250,PRT
25,20240225,7,4,3,2,1,0,Check-Out,127,90+ days,7,2,2,0,0,94.95,664.65,0,0,0,0,0,0,0,0,1,0,0,D,I,HB,115,GBR
26,20240724,8,4,3,1,1,0,Check-Out,78,31-90 days,7,2,2,0,0,63.6,445.2,0,0,0,0,0,0,0,0,0,0,1,D,D,BB,5,PRT
27,20241201,8,4,3,2,1,0,Check-Out,48,31-90 days,7,2,2,0,0,79.5,556.5,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,8,IRL
28,20241103,9,3,3,1,1,1,Canceled,60,31-90 days,7,2,2,0,0,107.0,749.0,0,0,0,0,0,0,0,0,2,0,0,E,E,BB,240,PRT
29,20241030,12,3,3,1,1,0,Check-Out,77,31-90 days,7,2,2,0,0,94.0,658.0,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,240,PRT
30,20240314,9,3,3,1,1,0,Check-Out,99,90+ days,7,2,2,0,0,87.3,611.1,0,0,0,0,0,0,0,0,1,0,1,D,D,BB,240,PRT
31,20241211,12,1,1,1,1,0,Check-Out,118,90+ days,14,1,1,0,0,62.0,868.0,0,0,0,0,0,0,0,2,2,0,0,A,A,BB,0,Unknown
32,20241230,12,4,3,1,1,0,Check-Out,95,90+ days,15,2,2,0,0,63.86,957.9,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,241,GBR
33,20240107,3,1,1,1,1,1,Canceled,96,90+ days,10,2,2,0,0,108.3,1083.0,0,0,0,0,0,0,0,0,2,0,0,E,E,BB,0,PRT
34,20240510,4,4,3,1,1,0,Check-Out,69,31-90 days,6,2,2,0,0,65.5,393.0,0,0,0,0,0,0,0,0,0,0,0,A,C,BB,175,IRL
35,20240808,11,3,3,1,1,1,Canceled,45,31-90 days,4,3,3,0,0,108.8,435.2,0,0,0,0,0,0,0,0,1,0,0,D,D,BB,241,PRT
36,20240422,2,3,3,1,1,1,Canceled,40,31-90 days,4,3,3,0,0,108.8,435.2,0,0,0,0,0,0,0,0,1,0,0,D,D,BB,241,PRT
37,20240221,2,3,3,1,1,0,Check-Out,15,8-30 days,4,2,2,0,0,98.0,392.0,0,0,0,0,0,0,0,0,0,0,0,A,C,BB,240,ESP
38,20240228,9,3,3,1,1,0,Check-Out,36,31-90 days,4,3,3,0,0,108.8,435.2,0,0,0,0,0,0,0,0,1,0,0,D,D,BB,241,PRT
39,20240117,14,3,3,1,1,1,Canceled,43,31-90 days,4,3,3,0,0,108.8,435.2,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,241,PRT
40,20240115,13,1,1,1,1,0,Check-Out,70,31-90 days,5,2,2,0,0,137.0,685.0,0,0,0,0,0,0,0,0,1,0,0,E,E,HB,250,ROU
41,20240203,14,3,3,1,1,1,Canceled,45,31-90 days,5,2,2,0,0,117.81,589.05,0,0,0,0,0,0,0,0,0,0,0,G,G,BB,241,PRT
42,20240123,8,4,3,2,1,0,Check-Out,45,31-90 days,5,2,2,0,0,79.5,397.5,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,8,IRL
43,20240510,12,1,1,1,1,0,Check-Out,16,8-30 days,5,2,2,0,0,123.0,615.0,0,0,0,0,0,0,0,0,0,0,0,F,F,BB,0,ESP
44,20241101,1,1,1,1,1,0,Check-Out,70,31-90 days,5,2,2,0,0,137.0,685.0,0,0,0,0,0,0,0,0,1,0,0,E,E,HB,250,ROU
45,20240614,8,3,3,1,1,0,Check-Out,107,90+ days,7,2,2,0,0,110.7,774.9,0,0,0,0,0,0,0,0,2,0,0,A,A,BB,240,PRT
46,20240703,3,3,3,1,1,1,Canceled,47,31-90 days,7,4,2,2,0,153.0,1071.0,0,0,0,0,0,0,0,0,0,0,0,G,G,BB,240,PRT
47,20240805,4,4,3,1,1,0,Check-Out,96,90+ days,7,2,2,0,0,58.95,412.65,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,134,ESP
48,20240204,10,4,3,3,1,0,Check-Out,113,90+ days,7,2,2,0,0,82.88,580.16,0,0,0,0,0,0,0,0,2,0,0,E,E,BB,156,NOR
49,20240419,2,4,3,2,1,0,Check-Out,90,31-90 days,7,2,2,0,0,82.35,576.4499999999999,0,0,0,0,0,0,0,1,0,0,0,A,B,HB,243,GBR
50,20241228,15,3,3,1,1,0,Check-Out,50,31-90 days,7,2,2,0,0,119.35,835.4499999999999,0,0,0,0,0,0,0,1,1,0,0,E,F,HB,241,IRL
51,20240324,2,4,3,3,1,0,Check-Out,113,90+ days,7,2,2,0,0,67.58,473.06,0,0,0,0,0,0,0,0,2,0,0,D,D,BB,156,NOR
52,20240126,7,4,3,2,1,0,Check-Out,93,90+ days,11,2,2,0,0,56.01,616.11,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,156,IRL
53,20240702,5,4,3,2,1,0,Check-Out,76,31-90 days,14,2,2,0,0,110.7,1549.8,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,243,OMN
54,20240827,8,3,3,1,1,0,Check-Out,3,0-7 days,1,2,2,0,0,88.2,88.2,0,0,0,0,0,0,0,0,0,0,1,A,C,BB,240,ESP
55,20241105,10,3,3,1,1,0,Check-Out,1,0-7 days,1,2,2,0,0,147.0,147.0,0,0,0,0,0,0,0,0,0,0,1,H,H,BB,240,ARG
56,20240127,13,1,1,1,1,0,Check-Out,1,0-7 days,1,4,2,2,0,107.0,107.0,0,0,0,0,0,0,0,0,2,0,1,C,C,BB,0,ESP
57,20240715,13,1,1,1,1,0,Check-Out,0,0-7 days,1,2,2,0,0,147.0,147.0,0,0,0,0,0,0,0,0,0,0,0,H,H,BB,0,PRT
58,20241014,3,3,3,1,1,0,Check-Out,0,0-7 days,1,2,2,0,0,117.9,117.9,0,0,0,0,0,0,0,0,2,0,0,A,D,BB,240,PRT
59,20241121,2,1,1,1,1,0,Check-Out,0,0-7 days,1,2,2,0,0,123.0,123.0,0,0,0,0,0,0,0,0,0,0,0,G,G,BB,0,PRT
60,20240502,9,3,3,1,1,0,Check-Out,14,8-30 days,2,2,2,0,0,98.0,196.0,0,0,0,0,0,0,0,0,1,0,0,A,C,BB,242,USA
61,20240810,3,3,3,1,1,0,Check-Out,10,8-30 days,2,2,2,0,0,117.81,235.62,0,0,0,0,0,0,0,0,0,0,0,G,G,BB,241,PRT
62,20240530,14,3,3,1,1,0,Check-Out,5,0-7 days,2,2,2,0,0,135.0,270.0,0,0,0,0,0,0,0,0,2,0,1,E,E,BB,240,IRL
63,20240502,3,1,1,1,1,0,Check-Out,17,8-30 days,3,2,2,0,0,133.0,399.0,0,0,0,0,0,0,0,0,1,0,0,F,F,BB,250,ESP
64,20240706,12,4,3,2,1,0,Check-Out,93,90+ days,3,2,2,0,0,58.95,176.85000000000002,0,0,0,0,0,0,0,0,0,0,0,A,C,BB,115,IRL
65,20240731,12,3,3,1,1,1,Canceled,3,0-7 days,3,2,2,0,0,136.33,408.99,0,0,0,0,0,0,0,0,2,0,0,A,A,HB,240,PRT
66,20241123,1,3,3,1,1,0,Check-Out,10,8-30 days,2,4,2,2,0,153.0,306.0,0,0,0,0,0,0,0,0,0,0,1,G,H,BB,240,USA
67,20240108,5,3,3,1,1,0,Check-Out,3,0-7 days,2,2,2,0,0,110.5,221.0,0,0,0,0,0,0,0,0,0,0,0,A,C,BB,240,ESP
68,20240602,12,3,3,1,1,0,Check-Out,51,31-90 days,2,2,2,0,0,97.0,194.0,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,242,POL
69,20240825,1,4,3,1,1,1,Canceled,71,31-90 days,2,3,3,0,0,110.3,220.6,0,0,0,0,0,0,0,0,2,0,0,A,A,BB,242,PRT
70,20240202,4,3,3,1,1,1,Canceled,63,31-90 days,2,2,2,0,0,82.0,164.0,0,0,0,0,0,0,0,0,2,0,0,A,A,BB,240,PRT
71,20240903,4,3,3,1,1,1,Canceled,62,31-90 days,2,2,2,0,0,97.0,194.0,0,0,0,0,0,0,0,0,1,0,0,D,D,BB,240,PRT
72,20240830,14,3,3,1,1,1,Canceled,101,90+ days,2,2,2,0,0,73.8,147.6,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,240,PRT
73,20241024,14,4,3,1,1,0,Check-Out,2,0-7 days,2,2,2,0,0,91.5,183.0,0,0,0,0,0,0,0,0,0,0,0,A,A,HB,3,PRT
74,20241230,7,3,3,1,1,0,Check-Out,15,8-30 days,2,2,2,0,0,114.5,229.0,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,240,ESP
75,20240212,5,3,3,1,1,1,Canceled,51,31-90 days,2,3,3,0,0,110.3,220.6,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,242,PRT
76,20240814,5,3,3,1,1,0,Check-Out,3,0-7 days,3,2,2,0,0,90.9,272.70000000000005,0,0,0,0,0,0,0,0,0,0,1,A,A,BB,240,ESP
77,20240103,12,3,3,1,1,1,Canceled,48,31-90 days,3,2,2,0,0,123.0,369.0,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,240,PRT
78,20240706,2,3,3,1,1,0,Check-Out,2,0-7 days,4,1,1,0,0,122.0,488.0,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,240,PRT
79,20240125,9,4,3,1,1,0,Check-Out,72,31-90 days,4,2,2,0,0,110.7,442.8,0,0,0,0,0,0,0,0,0,0,1,A,A,BB,105,DEU
80,20240520,10,4,3,1,1,0,Check-Out,81,31-90 days,8,3,3,0,0,85.86,686.88,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,5,PRT
81,20240812,4,4,3,2,1,0,Check-Out,99,90+ days,9,2,2,0,0,58.95,530.5500000000001,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,40,FRA
82,20241228,14,4,3,2,1,1,Canceled,368,90+ days,10,2,2,0,0,55.68,556.8,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,40,PRT
83,20241109,8,4,3,2,1,0,Check-Out,364,90+ days,10,2,2,0,0,55.68,556.8,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,40,GBR
84,20240527,14,1,1,1,1,1,Canceled,81,31-90 days,10,2,2,0,0,124.0,1240.0,0,0,0,0,0,0,0,2,1,0,0,A,A,HB,250,PRT
85,20241020,8,4,3,2,1,0,Check-Out,99,90+ days,10,2,2,0,0,111.15,1111.5,0,0,0,0,0,0,0,0,0,0,0,E,E,HB,115,GBR
86,20240322,14,4,3,2,1,0,Check-Out,324,90+ days,14,2,2,0,0,134.73,1886.22,0,0,0,0,0,0,0,0,0,0,0,E,E,HB,40,GBR
87,20241130,10,3,3,1,1,0,Check-Out,69,31-90 days,14,2,2,0,0,92.45,1294.3,0,0,0,0,0,0,0,1,1,0,0,F,F,BB,241,GBR
88,20240226,1,4,3,1,1,1,Canceled,79,31-90 days,21,3,2,1,0,108.73,2283.33,0,0,0,0,0,0,0,0,2,0,0,A,A,BB,242,PRT
89,20240613,9,3,3,1,1,0,Check-Out,12,8-30 days,1,2,2,0,0,73.8,73.8,0,0,0,0,0,0,0,0,0,0,0,A,C,BB,240,GBR
90,20240925,3,3,3,1,1,0,Check-Out,9,8-30 days,1,2,2,0,0,98.0,98.0,0,0,0,0,0,0,0,0,2,0,1,A,C,BB,240,PRT
91,20240906,9,3,3,1,1,0,Check-Out,1,0-7 days,1,2,2,0,0,131.0,131.0,0,0,0,0,0,0,0,0,1,0,0,A,C,BB,240,ESP
92,20240505,7,3,3,1,1,0,Check-Out,21,8-30 days,1,2,2,0,0,123.0,123.0,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,240,PRT
93,20240924,3,3,3,1,1,0,Check-Out,9,8-30 days,1,2,2,0,0,94.71,94.71,0,0,0,0,0,0,0,0,0,0,0,C,C,BB,241,USA
94,20240817,11,3,3,1,1,0,Check-Out,109,90+ days,1,2,2,0,0,123.0,123.0,0,0,0,0,0,0,0,0,2,0,0,A,A,BB,240,BEL
95,20240906,13,3,3,1,1,1,Canceled,109,90+ days,2,2,2,0,0,123.0,246.0,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,240,PRT
96,20240321,10,3,3,1,1,1,Canceled,72,31-90 days,2,2,2,0,0,73.8,147.6,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,240,PRT
97,20240919,11,3,3,1,1,1,Canceled,63,31-90 days,7,2,2,0,0,117.0,819.0,0,0,0,0,0,0,0,0,1,0,0,F,F,BB,242,PRT
98,20241121,11,4,3,1,1,0,Check-Out,63,31-90 days,7,3,3,0,0,196.54,1375.78,0,0,0,0,0,0,0,0,1,0,0,E,E,HB,105,ESP
99,20240121,5,3,3,1,1,0,Check-Out,101,90+ days,7,3,2,1,0,99.3,695.1,0,0,0,0,0,0,0,0,2,0,1,D,D,BB,240,PRT
100,20240102,2,1,1,1,1,0,Check-Out,102,90+ days,7,2,2,0,0,90.95,636.65,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,250,DEU
101,20240805,1,1,1,1,1,0,Check-Out,4,0-7 days,3,2,2,0,0,92.67,278.01,0,0,0,0,0,0,0,0,1,0,0,A,C,BB,250,ESP
102,20240415,5,4,3,1,1,0,Check-Out,98,90+ days,3,2,2,0,0,71.55,214.65,0,0,0,0,0,0,0,0,0,0,1,D,D,BB,8,FRA
103,20240501,7,4,3,1,1,0,Check-Out,92,90+ days,6,3,1,2,0,96.49,578.9399999999999,0,0,0,0,0,0,0,0,2,0,0,F,F,BB,241,FRA
104,20240910,6,3,3,1,1,0,Check-Out,95,90+ days,6,2,2,0,0,85.8,514.8,0,0,0,0,0,0,0,0,2,0,1,A,C,BB,240,PRT
105,20240916,12,3,3,1,1,0,Check-Out,102,90+ days,7,2,2,0,0,96.3,674.1,0,0,0,0,0,0,0,0,1,0,0,E,E,BB,240,PRT
106,20240216,14,3,3,1,1,1,Canceled,26,8-30 days,7,4,2,2,0,163.0,1141.0,0,0,0,0,0,0,0,0,0,0,0,H,H,BB,240,PRT
107,20241216,5,1,1,1,1,1,Canceled,73,31-90 days,7,3,3,0,0,172.0,1204.0,0,0,0,0,0,0,0,0,1,0,0,D,D,HB,250,PRT
108,20240406,15,3,3,1,1,1,Canceled,102,90+ days,7,2,2,0,0,110.7,774.9,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,240,PRT
109,20240609,11,4,3,1,1,0,Check-Out,115,90+ days,7,2,2,0,0,58.95,412.65,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,134,PRT
110,20241224,9,3,3,1,1,0,Check-Out,102,90+ days,7,3,2,0,1,73.8,516.6,0,0,0,0,0,0,0,0,2,0,0,A,A,BB,240,PRT
111,20240628,13,3,3,1,1,0,Check-Out,86,31-90 days,7,2,2,0,0,97.0,679.0,0,0,0,0,0,0,0,0,2,0,0,D,D,BB,240,CHE
112,20241108,12,3,3,1,1,0,Check-Out,78,31-90 days,7,3,2,0,1,139.0,973.0,0,0,0,0,0,0,0,0,2,0,0,E,F,HB,240,PRT
113,20240525,1,3,3,1,1,0,Check-Out,52,31-90 days,7,2,2,0,0,67.24,470.68,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,147,GBR
114,20240513,15,3,3,1,1,0,Check-Out,29,8-30 days,8,3,3,0,0,116.5,932.0,0,0,0,0,0,0,0,0,1,0,0,E,E,BB,241,PRT
115,20240414,3,3,3,1,1,1,Canceled,101,90+ days,8,2,2,0,0,96.3,770.4,0,0,0,0,0,0,0,0,1,0,0,E,E,BB,240,PRT
116,20240123,3,3,3,1,1,0,Check-Out,109,90+ days,8,2,2,0,0,123.0,984.0,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,240,PRT
117,20240527,3,4,3,2,1,0,Check-Out,92,90+ days,10,2,2,0,0,71.55,715.5,0,0,0,0,0,0,0,0,1,0,0,D,D,BB,40,GBR
118,20240907,2,4,3,2,1,0,Check-Out,92,90+ days,10,2,2,0,0,71.55,715.5,0,0,0,0,0,0,0,0,1,0,0,D,D,BB,40,PRT
119,20240130,13,1,1,1,1,0,Check-Out,79,31-90 days,10,3,2,1,0,149.0,1490.0,0,0,0,0,0,0,0,1,1,0,0,D,D,HB,250,PRT
120,20241003,7,3,3,1,1,0,Check-Out,2,0-7 days,1,4,2,2,0,163.0,163.0,0,0,0,0,0,0,0,1,0,0,1,H,G,BB,240,PRT
121,20240104,13,4,3,2,1,0,Check-Out,30,8-30 days,1,2,2,0,0,79.5,79.5,0,0,0,0,0,0,0,0,0,0,0,D,C,BB,8,PRT
122,20241218,9,3,3,1,1,1,Canceled,51,31-90 days,1,1,1,0,0,105.0,105.0,0,0,0,0,0,0,0,0,0,0,0,A,A,HB,240,PRT
123,20241107,13,1,1,1,1,1,No-Show,36,31-90 days,1,1,1,0,0,123.0,123.0,0,0,0,0,0,0,0,1,0,0,0,E,G,BB,250,PRT
124,20240602,7,3,3,1,1,1,Canceled,73,31-90 days,1,2,2,0,0,73.8,73.8,0,0,0,0,0,0,0,0,2,0,0,A,A,BB,240,PRT
125,20240722,10,3,3,1,1,1,Canceled,33,31-90 days,1,2,2,0,0,113.0,113.0,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,240,PRT
126,20240517,3,5,1,1,1,0,Check-Out,32,31-90 days,1,4,4,0,0,0.0,0.0,1,0,0,0,0,0,0,2,1,0,0,H,H,FB,0,PRT
127,20240110,14,3,3,1,1,0,Check-Out,8,8-30 days,1,2,2,0,0,123.0,123.0,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,240,ESP
128,20240722,15,3,3,3,1,0,Check-Out,100,90+ days,2,2,2,0,0,73.8,147.6,0,0,0,0,0,0,0,0,1,0,1,A,C,BB,240,FRA
129,20241001,8,3,3,1,1,0,Check-Out,1,0-7 days,2,2,2,0,0,114.5,229.0,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,240,PRT
130,20240726,10,3,3,3,1,0,Check-Out,100,90+ days,2,2,2,0,0,73.8,147.6,0,0,0,0,0,0,0,0,2,0,0,A,A,BB,240,FRA
131,20240817,1,3,3,3,1,0,Check-Out,100,90+ days,2,2,2,0,0,73.8,147.6,0,0,0,0,0,0,0,0,1,0,0,A,C,BB,240,FRA
132,20241026,8,3,3,1,1,0,Check-Out,9,8-30 days,1,2,2,0,0,88.2,88.2,0,0,0,0,0,0,0,0,1,0,0,A,C,BB,240,ESP
133,20241216,2,3,3,1,1,1,Canceled,5,0-7 days,1,2,2,0,0,97.0,97.0,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,240,PRT
134,20240504,15,3,3,1,1,0,Check-Out,0,0-7 days,1,2,2,0,0,85.1,85.1,0,0,0,0,0,0,0,1,0,0,0,A,C,BB,306,ESP
135,20240731,5,3,3,1,1,0,Check-Out,9,8-30 days,1,1,1,0,0,89.0,89.0,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,184,DEU
136,20241005,15,3,3,1,1,0,Check-Out,2,0-7 days,1,1,1,0,0,80.1,80.1,0,0,0,0,0,0,0,0,0,0,0,A,D,BB,240,PRT
137,20240327,3,3,3,1,1,0,Check-Out,2,0-7 days,1,2,2,0,0,98.0,98.0,0,0,0,0,0,0,0,0,0,0,0,A,E,BB,240,PRT
138,20240614,8,3,3,1,1,0,Check-Out,9,8-30 days,1,1,1,0,0,101.0,101.0,0,0,0,0,0,0,0,0,0,0,1,A,A,BB,184,DEU
139,20240626,15,3,3,1,1,1,Canceled,5,0-7 days,1,2,2,0,0,97.0,97.0,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,240,PRT
140,20240519,1,1,1,1,1,0,Check-Out,2,0-7 days,1,2,2,0,0,167.0,167.0,0,0,0,0,0,0,0,0,1,0,0,G,G,BB,0,PRT
141,20240519,6,3,3,1,1,0,Check-Out,44,31-90 days,2,3,3,0,0,225.0,450.0,0,0,0,0,0,0,0,3,0,0,2,G,G,HB,240,PRT
142,20240626,15,3,3,1,1,0,Check-Out,80,31-90 days,2,2,2,0,0,97.0,194.0,0,0,0,0,0,0,0,0,0,0,1,D,E,BB,240,FRA
143,20240130,13,3,3,1,1,0,Check-Out,97,90+ days,4,2,2,0,0,87.3,349.2,0,0,0,0,0,0,0,0,2,0,0,D,D,BB,240,ESP
144,20241109,1,4,3,1,1,0,Check-Out,109,90+ days,5,3,2,1,0,85.59,427.9500000000001,0,0,0,0,0,0,0,0,2,0,1,A,D,BB,241,CN
145,20240922,10,3,3,1,1,0,Check-Out,30,8-30 days,5,2,2,0,0,123.0,615.0,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,240,ESP
146,20241225,8,3,3,1,1,0,Check-Out,64,31-90 days,5,2,2,0,0,107.0,535.0,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,240,PRT
147,20241203,11,3,3,1,1,0,Check-Out,39,31-90 days,6,2,2,0,0,163.0,978.0,0,0,0,0,0,0,0,0,0,0,0,H,H,BB,240,ESP
148,20240929,2,3,3,1,1,0,Check-Out,90,31-90 days,6,2,2,0,0,82.0,492.0,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,240,PRT
149,20241207,11,3,3,1,1,1,Canceled,34,31-90 days,6,4,2,2,0,163.0,978.0,0,0,0,0,0,0,0,0,0,0,0,H,H,BB,240,PRT
150,20240215,7,4,3,1,1,1,Canceled,93,90+ days,7,2,2,0,0,105.5,738.5,0,0,0,0,0,0,0,0,0,0,0,D,D,HB,15,PRT
151,20240203,1,1,1,1,1,0,Check-Out,97,90+ days,7,4,2,2,0,164.2,1149.4,0,0,0,0,0,0,0,1,1,0,1,C,C,HB,250,PRT
152,20240802,9,3,3,1,1,0,Check-Out,29,8-30 days,7,2,2,0,0,97.29,681.0300000000001,0,0,0,0,0,0,0,0,1,0,0,F,F,BB,241,IRL
153,20241105,8,3,3,1,1,1,Canceled,101,90+ days,7,2,2,0,0,114.0,798.0,0,0,0,0,0,0,0,0,1,0,0,A,A,HB,240,PRT
154,20241221,13,4,3,1,1,0,Check-Out,27,8-30 days,7,2,2,0,0,98.4,688.8000000000001,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,175,ESP
155,20240820,3,3,3,1,1,0,Check-Out,8,8-30 days,9,4,2,2,0,175.0,1575.0,0,0,0,0,0,0,0,1,1,0,1,H,H,BB,240,CHE
156,20240722,12,4,3,1,1,0,Check-Out,82,31-90 days,10,2,2,0,0,63.6,636.0,0,0,0,0,0,0,0,0,2,0,1,D,D,BB,5,PRT
157,20240115,3,1,1,1,1,0,Check-Out,94,90+ days,10,3,3,0,0,124.45,1244.5,0,0,0,0,0,0,0,3,1,0,1,D,C,BB,0,PRT
158,20240204,5,4,3,2,1,0,Check-Out,110,90+ days,11,2,2,0,0,110.7,1217.7,0,0,0,0,0,0,0,0,0,0,0,D,D,BB,40,GBR
159,20240104,12,4,3,2,1,0,Check-Out,96,90+ days,14,1,1,0,0,74.07,1036.98,0,0,0,0,0,0,0,0,0,0,0,A,A,HB,40,GBR
